index_id,room_longitude,room_latitude,total_agent,floor_total,owner_gender,room_name,scope_name,estate_house_quantity,room_money,rf_kt,rf_src,rf_yg,rf_bx,rf_wsj,rf_cf,rf_rsq,rf_kd,rf_yt,rf_drc,rf_xzt,rf_pc,rf_xyj,rf_sf,rf_szt,rf_dsj,rf_unknow,zhuanzu,keduanzu,estate_name,puf_no,puf_bx,puf_xyj,puf_kd,puf_rsq,puf_cf,puf_wsj,puf_kt,puf_sf,puf_nq,puf_wbl,puf_kx,puf_dsj,agent_money,commission_price,area,fdxh_zxgl,fdxh_agj,fdxh_bxy,fdxh_bhj,fdxh_ds,fdxh_yh,fdxh_drz,fdxh_srz,fdxh_nvsheng,fdxh_nansheng,region_name,rent_type,only_girl,brand_type,subway_nums,subway_least_distance,decoration,floor,room_direction,hall_num,room_area,wei_num,business_type,is_zhongjie,room_num,pay_method,room_type
2772,120.338327,30.313136,1,26,1,1,2,90,1900.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46,0,1,1,1,1,1,1,0,1,0,0,0,0,0.0,0.0,133.0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,516,3,16,9,2,20.0,3,1,0,5,3,1
2773,120.187133,30.306448,1,19,1,8,43,73,5300.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,89.0,0,0,0,0,0,0,0,0,0,0,6,2,0,3,1,1921,3,12,9,2,89.0,2,1,0,2,3,5
2774,120.39208088,30.30418346,1,28,1,3,3,34,1400.0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,336,0,1,1,1,1,1,1,1,1,0,0,0,1,0.0,0.0,158.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,798,3,13,9,2,28.0,2,1,0,4,3,1
2775,120.17872,30.285318,1,21,1,1,15,44,2700.0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,222,0,1,1,1,1,1,1,0,1,0,1,0,1,0.0,0.0,127.0,0,0,0,0,0,0,0,0,0,0,6,1,0,3,6,983,3,6,9,1,16.0,2,1,0,4,3,1
2776,120.167136,30.295517,1,28,1,8,15,16,4200.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,57.0,0,0,0,0,0,0,0,0,0,0,6,2,0,3,3,1484,3,24,9,1,57.0,1,1,0,1,3,5
2777,120.391551,30.296965,1,34,1,6,3,8,1400.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,18.0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,602,2,90,9,2,18.0,2,1,0,4,4,2
2778,120.14845,30.177999,1,28,0,4,7,94,1700.0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10,0,1,1,1,1,1,1,1,0,0,0,0,0,0.0,0.0,136.0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,-1,3,17,9,1,16.0,2,1,0,4,3,1
2779,120.209384,30.214704,1,23,1,0,8,19,3900.0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,278,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,58.0,0,0,0,0,0,0,0,0,0,0,4,2,0,3,2,1870,3,14,9,1,58.0,1,1,0,1,3,5
2780,120.383071,30.289895,1,42,1,1,3,206,1500.0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,1,1,1,1,1,1,1,0,0,0,0,0,0.0,0.0,160.0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,991,2,2,9,2,20.0,2,1,0,5,3,1
2781,120.187133,30.306448,1,32,1,8,43,73,4500.0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,80.0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,1,1921,3,16,9,1,80.0,1,1,0,2,3,5
