index_id,room_longitude,room_latitude,total_agent,floor_total,owner_gender,room_name,scope_name,estate_house_quantity,room_money,rf_kt,rf_src,rf_yg,rf_bx,rf_wsj,rf_cf,rf_rsq,rf_kd,rf_yt,rf_drc,rf_xzt,rf_pc,rf_xyj,rf_sf,rf_szt,rf_dsj,rf_unknow,zhuanzu,keduanzu,estate_name,puf_no,puf_bx,puf_xyj,puf_kd,puf_rsq,puf_cf,puf_wsj,puf_kt,puf_sf,puf_nq,puf_wbl,puf_kx,puf_dsj,agent_money,commission_price,area,fdxh_zxgl,fdxh_agj,fdxh_bxy,fdxh_bhj,fdxh_ds,fdxh_yh,fdxh_drz,fdxh_srz,fdxh_nvsheng,fdxh_nansheng,region_name,rent_type,only_girl,brand_type,subway_nums,subway_least_distance,decoration,floor,room_direction,hall_num,room_area,wei_num,business_type,is_zhongjie,room_num,pay_method,room_type
29,113.926557,22.538642,1,7,2,1,295,3,1320.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3435,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,80.0,0,0,0,0,0,0,0,0,0,0,43,1,0,0,3,505,2,0,1,1,12.0,1,1,0,3,6,1
30,113.899555,22.5777829,1,22,2,4,291,2,1800.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3437,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,45.0,0,0,0,0,0,0,0,0,0,0,41,1,1,0,3,1692,2,0,1,0,18.0,1,1,0,2,6,1
31,114.07255554,22.55297279,1,32,2,1,307,4,2000.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3441,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,40,1,0,0,18,464,2,0,1,1,16.0,1,1,0,4,6,1
32,114.051633,22.608921,1,12,1,0,286,3,1700.0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,3443,0,1,1,1,1,1,1,1,1,0,0,0,1,0.0,0.0,32.0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,5,651,2,2,2,0,32.0,1,1,0,1,3,5
33,114.24379165,22.56505818,1,8,2,0,309,2,4800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3444,0,0,0,0,0,0,0,0,0,0,0,0,0,2400.0,50.0,106.18,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,-1,2,5,9,2,106.18,1,1,1,3,6,5
34,114.2496976,22.56084907,1,10,2,0,309,2,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3445,0,0,0,0,0,0,0,0,0,0,0,0,0,3000.0,50.0,101.0,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,-1,2,2,9,2,101.0,1,1,1,3,6,5
35,114.24360622,22.73011017,1,16,2,0,290,4,5500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3448,0,0,0,0,0,0,0,0,0,0,0,0,0,2750.0,50.0,180.0,0,0,0,0,0,0,0,0,0,0,44,2,0,0,1,2084,2,6,9,2,180.0,1,1,1,5,6,5
36,114.24687195,22.72565269,1,7,2,0,290,8,6000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3449,0,0,0,0,0,0,0,0,0,0,0,0,0,3000.0,50.0,148.27,0,0,0,0,0,0,0,0,0,0,44,2,0,0,2,1556,2,7,7,2,148.27,1,1,1,5,6,5
37,114.24379165,22.56505818,1,8,2,0,309,2,3500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3444,0,0,0,0,0,0,0,0,0,0,0,0,0,1750.0,50.0,85.41,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,-1,2,7,9,2,85.41,1,1,1,2,6,5
38,114.144915,22.7046138,1,18,2,0,299,1,7000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3452,0,0,0,0,0,0,0,0,0,0,0,0,0,3500.0,50.0,197.51,0,0,0,0,0,0,0,0,0,0,44,2,0,0,0,-1,2,18,9,3,197.51,1,1,1,5,6,5
